Country Name,Region Name,Main Grouping,Indicator - Topic,Indicator - Topic description,Indicator Name,Indicator - Unit,Scale,Indicator - Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Algeria,North Africa,Electricity,Technical,Electricity technical indicators,Electricity installed capacity in Geothermal (MW),MW,,IRENA database,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,North Africa,Electricity,Technical,Electricity technical indicators,Electricity installed capacity in Hydropower (MW),MW,,IRENA database,,,,,,,,,,,276.6,276.6,276.6,276.6,276.6,276.6,249.6,249.6,230.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,228,228
Algeria,North Africa,Electricity,Technical,Electricity technical indicators,Electricity installed capacity in Solar (MW),MW,,IRENA database,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,25,25,25,25,26,74.1,244.1,425,435
Algeria,North Africa,Electricity,Technical,Electricity technical indicators,Electricity installed capacity in Total renewable energy (MW),MW,,IRENA database,,,,,,,,,,,276.6,276.6,276.6,276.6,276.6,276.6,249.6,249.6,230.6,227.6,252.6,252.6,252.6,252.6,263.8,311.9,481.9,663.2,673
Algeria,North Africa,Electricity,Technical,Electricity technical indicators,Electricity installed capacity in Wind (MW),MW,,IRENA database,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,10.2,10.2,10.2,10
Algeria,North Africa,Energy,Efficiency,Energy efficiency,Energy intensity in Agrigulture (MJ/USD PPP 2011),MJ/USD PPP 2011,,Tracking SDG7/WBG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1319864,0.1759682,0.1690308,0.1646783,0.1154606,0.1832335,0.1631397,NULL,,
Algeria,North Africa,Energy,Efficiency,Energy efficiency,Energy intensity in Industry (MJ/USD PPP 2011),MJ/USD PPP 2011,,Tracking SDG7/WBG,0,0,0,0,0,0,0,0,0,0,0.6915807,0.6994544,0.697509,0.6844242,0.7354413,0.7269699,0.7587028,0.812433,0.8206311,0.8421273,0.9261891,0.9289611,0.8900361,0.9015769,0.8907467,0.9177384,NULL,,
Algeria,North Africa,Energy,Efficiency,Energy efficiency,Energy intensity in Services (MJ/USD PPP 2011),MJ/USD PPP 2011,,Tracking SDG7/WBG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142145,0.001225061,0.00129697,0.001431003,NULL,NULL,NULL,NULL,,
Algeria,North Africa,Energy,Access,Energy access,Energy: Population without access to clean cooking fuels (millions of people),Millions of people,,Tracking SDG7/WBG,,,,,,,,,,,4.22,,,,,3.01,,,,,2.74,NULL,NULL,NULL,2.7,NULL,3,,
Algeria,North Africa,Energy,Efficiency,Energy efficiency,National energy intensity (MJ/USD PPP 2011),MJ/USD PPP 2011,,Tracking SDG7/WBG,3.501738,3.749022,3.76972,3.864311,3.758601,3.778057,3.514072,3.561769,3.507279,3.627871,3.549582,3.452933,3.497293,3.467068,3.365381,3.30904,3.484685,3.577186,3.535955,3.804965,3.610583,3.660625,3.892344,3.920542,4.102356,4.132702,NULL,,
Algeria,North Africa,Electricity,Access,Electricity access,Population access to electricity-National (% of population),% of population,,Tracking SDG7/WBG,98.27138,98.37777,98.48366,98.58648,98.68319,98.77071,98.84601,98.90601,98.94765,98.96788,98.96516,98.94402,98.91054,98.87077,98.83079,98.79665,98.77441,98.77014,99.3,98.82767,98.88497,98.9573,98.76466,99.13499,99.23434,99.33671,99.43957,99.1246,NULL
Algeria,North Africa,Electricity,Access,Electricity access,Population access to electricity-Quintile 1 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,NULL,98.9582,NULL,NULL,NULL,,
Algeria,North Africa,Electricity,Access,Electricity access,Population access to electricity-Quintile 2 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,NULL,100,NULL,NULL,NULL,,
Algeria,North Africa,Electricity,Access,Electricity access,Population access to electricity-Quintile 3 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,NULL,100,NULL,NULL,NULL,,
Algeria,North Africa,Electricity,Access,Electricity access,Population access to electricity-Quintile 4 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,NULL,99.2558,NULL,NULL,NULL,,
Algeria,North Africa,Electricity,Access,Electricity access,Population access to electricity-Quintile 5 (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,NULL,95.8978,NULL,NULL,NULL,,
Algeria,North Africa,Electricity,Access,Electricity access,Population access to electricity-Rural (% of population),% of population,,Tracking SDG7/WBG,96.39231,96.55789,96.728,96.89752,97.05944,97.20636,97.33117,97.43049,97.50513,97.5529,97.57024,97.5585,97.52262,97.47134,97.41508,97.36529,97.33402,97.33483,97.91064,97.46214,97.59427,97.76636,97.85879,98.18665,98.42963,98.68768,98.95538,96.868,NULL
Algeria,North Africa,Electricity,Access,Electricity access,Population access to electricity-Urban (% of population),% of population,,Tracking SDG7/WBG,100,100,100,100,100,100,99.99936,99.99464,99.97888,99.94638,99.89824,99.84062,99.77936,99.7182,99.66006,99.60774,99.56397,99.53124,100,99.50568,99.50568,99.51237,99.25674,99.55096,99.57711,99.60533,99.63443,100,NULL
Algeria,North Africa,Electricity,Access,Electricity access,Population without access to electricity-National (millions of people),Millions of people,,Tracking SDG7/WBG,0.447927,0.4307724,0.4121584,0.3927646,0.3734772,0.3553165,0.3394053,0.3269603,0.319239,0.317538,0.3227021,0.3336058,0.348574,0.3659091,0.3838652,0.4005777,0.4139774,0.4218424,0.244025,0.415774,0.4027219,0.3839182,0.4640658,0.3316336,0.2994732,0.2644646,0.2275695,,
Algeria,North Africa,Electricity,Access,Electricity access,Population without access to electricity-Rural (millions of people),Millions of people,,Tracking SDG7/WBG,0.447927,0.4307724,0.4121584,0.3927646,0.3734772,0.3553165,0.3392983,0.3260392,0.3155032,0.3077857,0.3036881,0.3030367,0.3051576,0.3090358,0.3134848,0.3172308,0.3188441,0.3167731,0.244025,0.2986264,0.2821642,0.2614548,0.2717719,0.2119695,0.1834755,0.1531683,0.1217233,,
Algeria,North Africa,Electricity,Access,Electricity access,Population without access to electricity-Urban (millions of people),Millions of people,,Tracking SDG7/WBG,0,0,0,0,0,0,0.000107013,0.000921101,0.003735735,0.009752302,0.01901395,0.03056907,0.04341635,0.05687332,0.07038049,0.08334695,0.09513322,0.1050693,0,0.1171476,0.1205577,0.1224634,0.1922939,0.1196641,0.1159977,0.1112963,0.1058462,,
Algeria,North Africa,Social and Economic,Population,Population,Population; Total (millions of people),Millions of people,,AfDB Data portal,25.91236,26.55428,27.18092,27.78598,28.36201,28.9043,29.41184,29.88772,30.33688,30.76655,31.18366,31.59215,31.99505,32.40351,32.8311,33.28844,33.77791,34.30007,34.86071,35.46576,36.11764,36.81956,37.56585,38.33856,39.11331,39.87153,40.60605,41.319,42.008
Algeria,North Africa,Social and Economic,Population,Population,Rural population (millions of people),Millions of people,,AfDB Data portal,12.57271,12.67465,12.76063,12.82895,12.87567,12.89956,12.901,12.88334,12.84803,12.78643,12.7136,12.63118,12.54035,12.44771,12.36025,12.28372,12.21813,12.16186,12.1121,12.07139,12.0358,12.00533,11.97935,11.95457,11.92721,11.89466,11.85605,11.548,11.498
Algeria,North Africa,Social and Economic,Population,Population,Urban population (millions of people),Millions of people,,AfDB Data portal,13.667,14.21901,14.77452,15.32861,15.87708,16.41591,16.94421,17.46212,17.9724,18.48986,19.00585,19.51901,20.03263,20.55573,21.1011,21.67718,22.28909,22.93518,23.61328,24.31191,25.02702,25.75763,26.50235,27.25362,28.00174,28.7388,29.46035,29.771,30.51
Algeria,North Africa,Energy,Access,Energy access,Usage of charcoal/wood for cooking-National (% of population),% of population,,AIKP Database,,,,,,,,,,,,,,,,,,,,,,NULL,0.357,NULL,NULL,NULL,NULL,,
